State_Name,District_Name,Total_Area,Sugarcane_Area,Rice_Area,Latitude,Longitude
Chhattisgarh,RAJNANDGAON,6540602.0,462.0,4010340.0,21.06844245,80.797077941564
Chhattisgarh,SUKMA,389627.0,32.0,295590.0,18.26654225,81.29252341475065
Chhattisgarh,SURAJPUR,686086.0,4863.0,430699.0,23.357776899999998,82.97612766699449
Chhattisgarh,SURGUJA,6679251.0,19648.0,3890007.0,22.94691345,83.1656942260687
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,330631.0,14456.0,230982.0,20.23379195,73.04951729927411
Goa,NORTH GOA,653866.1,2106.0,293773.0,15.60444125,74.00172406307475
Goa,SOUTH GOA,457401.4,8652.0,258507.0,15.219624,74.1159084575026
Gujarat,AHMADABAD,7890300.0,4500.0,1428800.0,23.0215374,72.5800568
Gujarat,AMRELI,8441000.0,22500.0,300.0,21.4176122,71.24960898982046
Gujarat,ANAND,2646700.0,0.0,857700.0,22.5586555,72.9627227
Gujarat,BANAS KANTHA,12174400.0,400.0,0.0,24.25,72.5
Gujarat,BHARUCH,5097700.0,368500.0,278800.0,21.7080427,72.9956936
Gujarat,BHAVNAGAR,8941100.0,2100.0,400.0,21.7718836,72.1416449
Gujarat,DANG,778300.0,500.0,234800.0,20.788171849999998,73.70920325426432
Gujarat,DOHAD,2943100.0,0.0,403800.0,22.3850051,71.745261
Gujarat,GANDHINAGAR,1793800.0,0.0,158600.0,23.2232877,72.6492267
Gujarat,JAMNAGAR,9743400.0,4800.0,0.0,22.4732415,70.0552102
Gujarat,JUNAGADH,10240900.0,130800.0,300.0,21.5220416,70.4582458
Gujarat,KACHCHH,7484600.0,2600.0,0.0,23.583333,70.0
Gujarat,KHEDA,6512800.0,3200.0,1820400.0,22.8532503,72.99535862253666
Gujarat,MAHESANA,6564800.0,0.0,124600.0,23.6015557,72.3867981
Gujarat,NARMADA,1139200.0,63800.0,135300.0,21.73926245,73.6262457912427
